,瘤开,螟沥老矫,固技刚瘤,檬固技刚瘤
384480,堡林 悼备,2017010101,35.0,23.0
384481,堡林 悼备,2017010102,34.0,23.0
384482,堡林 悼备,2017010103,28.0,20.0
384483,堡林 悼备,2017010104,28.0,19.0
384484,堡林 悼备,2017010105,25.0,20.0
384485,堡林 悼备,2017010106,33.0,19.0
384486,堡林 悼备,2017010107,33.0,27.0
384487,堡林 悼备,2017010108,35.0,26.0
384488,堡林 悼备,2017010109,35.0,28.0
384489,堡林 悼备,2017010110,37.0,27.0
384490,堡林 悼备,2017010111,44.0,38.0
384491,堡林 悼备,2017010112,54.0,37.0
384492,堡林 悼备,2017010113,60.0,42.0
384493,堡林 悼备,2017010114,54.0,38.0
384494,堡林 悼备,2017010115,46.0,31.0
384495,堡林 悼备,2017010116,46.0,28.0
384496,堡林 悼备,2017010117,50.0,30.0
384497,堡林 悼备,2017010118,56.0,37.0
384498,堡林 悼备,2017010119,61.0,36.0
384499,堡林 悼备,2017010120,65.0,38.0
384500,堡林 悼备,2017010121,56.0,34.0
384501,堡林 悼备,2017010122,51.0,38.0
384502,堡林 悼备,2017010123,53.0,40.0
384503,堡林 悼备,2017010124,53.0,37.0
384504,堡林 悼备,2017010201,51.0,38.0
384505,堡林 悼备,2017010202,47.0,37.0
384506,堡林 悼备,2017010203,44.0,33.0
384507,堡林 悼备,2017010204,49.0,39.0
384508,堡林 悼备,2017010205,55.0,45.0
384509,堡林 悼备,2017010206,54.0,44.0
384510,堡林 悼备,2017010207,55.0,44.0
384511,堡林 悼备,2017010208,63.0,45.0
384512,堡林 悼备,2017010209,70.0,57.0
384513,堡林 悼备,2017010210,71.0,51.0
384514,堡林 悼备,2017010211,75.0,54.0
384515,堡林 悼备,2017010212,76.0,51.0
384516,堡林 悼备,2017010213,78.0,55.0
384517,堡林 悼备,2017010214,66.0,43.0
384518,堡林 悼备,2017010215,48.0,30.0
384519,堡林 悼备,2017010216,48.0,31.0
384520,堡林 悼备,2017010217,46.0,29.0
384521,堡林 悼备,2017010218,40.0,23.0
384522,堡林 悼备,2017010219,40.0,28.0
384523,堡林 悼备,2017010220,45.0,27.0
384524,堡林 悼备,2017010221,48.0,33.0
384525,堡林 悼备,2017010222,51.0,37.0
384526,堡林 悼备,2017010223,54.0,41.0
384527,堡林 悼备,2017010224,76.0,59.0
384528,堡林 悼备,2017010301,94.0,67.0
384529,堡林 悼备,2017010302,94.0,74.0
384530,堡林 悼备,2017010303,100.0,80.0
384531,堡林 悼备,2017010304,113.0,97.0
384532,堡林 悼备,2017010305,139.0,118.0
384533,堡林 悼备,2017010306,131.0,115.0
384534,堡林 悼备,2017010307,111.0,95.0
384535,堡林 悼备,2017010308,111.0,90.0
384536,堡林 悼备,2017010309,96.0,82.0
384537,堡林 悼备,2017010310,103.0,85.0
384538,堡林 悼备,2017010311,98.0,75.0
384539,堡林 悼备,2017010312,90.0,66.0
384540,堡林 悼备,2017010313,88.0,64.0
384541,堡林 悼备,2017010314,74.0,54.0
