ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ Ç³¼Ó(m/s)
722,2016-01-01,2.6,0,1.3
722,2016-01-02,6.3,0,1.3
722,2016-01-03,7.1,0,1.4
722,2016-01-04,7.1,0,1.8
722,2016-01-05,2.7,0,1.9
722,2016-01-06,4,0,2.7
722,2016-01-07,2.8,0,2.6
722,2016-01-08,1.1,0,1.7
722,2016-01-09,2.2,0,1.7
722,2016-01-10,3.6,0,1.5
722,2016-01-11,1.5,0,2.1
722,2016-01-12,-0.2,0,2.1
722,2016-01-13,0.9,1,2.4
722,2016-01-14,1,1,2.2
722,2016-01-15,2.2,0,1.5
722,2016-01-16,3.8,0,1.4
722,2016-01-17,3.6,5,1.2
722,2016-01-18,-0.9,0.5,3.8
722,2016-01-19,-4.6,0,4
722,2016-01-20,-4.2,0,1.9
722,2016-01-21,-2.8,0,2.2
722,2016-01-22,-2.5,0,2.7
722,2016-01-23,-5.8,0,2.4
722,2016-01-24,-9.4,0,1.8
722,2016-01-25,-5,3.5,0.9
722,2016-01-26,-0.2,0,1.4
722,2016-01-27,1.7,0,1.4
722,2016-01-28,2.7,11,1.1
722,2016-01-29,3.7,12,1
722,2016-01-30,3.5,0,1.4
722,2016-01-31,-0.1,0,2.2
722,2016-02-01,-2,0,2.8
722,2016-02-02,-1.8,0,2.6
722,2016-02-03,-0.3,0,1.9
722,2016-02-04,0.7,0,1.6
722,2016-02-05,1.4,0,2.1
722,2016-02-06,-0.4,0,2.4
722,2016-02-07,-0.8,0,1.6
722,2016-02-08,2.8,0,2.5
722,2016-02-09,3.2,0,2.4
722,2016-02-10,4.8,0,1.6
722,2016-02-11,10.7,0,4.2
722,2016-02-12,14.5,18.5,4
722,2016-02-13,14.4,6,3
722,2016-02-14,0.7,1,5.4
722,2016-02-15,-2.3,0,3.8
722,2016-02-16,1.3,1.5,2.8
722,2016-02-17,2.4,0,2.2
722,2016-02-18,4.5,0,2.4
722,2016-02-19,6.6,0,1.4
722,2016-02-20,4.3,0,2.8
722,2016-02-21,1.9,0,2.2
722,2016-02-22,3.3,0,1.4
722,2016-02-23,3.9,0,2.9
722,2016-02-24,-0.7,0,3
722,2016-02-25,1.2,0,2.2
722,2016-02-26,4.2,0,1.9
722,2016-02-27,8.7,0,2.3
722,2016-02-28,7.2,3,3.3
722,2016-02-29,-1.1,0,4.3
722,2016-03-01,-0.1,0,2.3
722,2016-03-02,3.9,0,2
722,2016-03-03,10,0,2.4
722,2016-03-04,12.6,12,1.5
722,2016-03-05,15.3,27,5.2
722,2016-03-06,11.8,0,1.9
722,2016-03-07,11.9,0,1.8
722,2016-03-08,6.7,5,2.1
722,2016-03-09,3.1,1,2.6
722,2016-03-10,1.3,0,3.1
722,2016-03-11,1.6,0,2.5
722,2016-03-12,3.9,0,1.6
722,2016-03-13,4.7,0,1.4
722,2016-03-14,4.8,0,1.9
722,2016-03-15,6.6,0,1.8
722,2016-03-16,9.6,0,1.8
722,2016-03-17,11.8,0,1.9
722,2016-03-18,12.1,10.5,1
722,2016-03-19,11.5,0,2.1
722,2016-03-20,8.9,0,2
722,2016-03-21,9.4,0,2
722,2016-03-22,9.4,0,1.7
722,2016-03-23,8.5,0,2.7
722,2016-03-24,7.2,0,2
722,2016-03-25,6.1,0,2.2
722,2016-03-26,4.9,0,2.1
722,2016-03-27,6.6,0,2.1
722,2016-03-28,9.3,0,2.3
722,2016-03-29,12.2,0,3.2
722,2016-03-30,14.7,0,1.9
722,2016-03-31,14.3,0,1.8
722,2016-04-01,14.9,0,2
722,2016-04-02,15.7,0,2.2
722,2016-04-03,14,3,1.4
722,2016-04-04,13.2,1.5,2
722,2016-04-05,12.5,0,1.8
722,2016-04-06,12,25,2.2
722,2016-04-07,12.9,15,1.5
722,2016-04-08,14.8,0,1.7
722,2016-04-09,16.1,0,1.8
722,2016-04-10,16.5,0,2.1
722,2016-04-11,14.4,0,2.7
722,2016-04-12,14.7,0,3
722,2016-04-13,17.2,7.5,2.3
722,2016-04-14,17.3,0,1.8
722,2016-04-15,15.3,0,2.3
722,2016-04-16,16.3,34,4.8
722,2016-04-17,12.5,2,3.9
722,2016-04-18,12.9,0,2.5
722,2016-04-19,13.2,0,2.1
722,2016-04-20,15.5,0,2.9
722,2016-04-21,15.4,23,2.2
722,2016-04-22,17.8,0,1.8
722,2016-04-23,17.2,0,1.5
722,2016-04-24,17,0,2.3
722,2016-04-25,17.6,0,1.9
722,2016-04-26,17.9,10.5,2
722,2016-04-27,13.4,47,1.5
722,2016-04-28,14.1,10,1.6
722,2016-04-29,14.4,0,2.1
722,2016-04-30,16.2,0,2.5
722,2016-05-01,19,0,2.5
722,2016-05-02,19.3,14.5,4.4
722,2016-05-03,15.5,17.5,5.2
722,2016-05-04,15.7,0,3
722,2016-05-05,17.8,1,3.1
722,2016-05-06,19.9,0,3.3
722,2016-05-07,17.8,0,2.6
722,2016-05-08,18,0,2.3
722,2016-05-09,16.4,0.5,1.4
722,2016-05-10,14.6,26,1.3
722,2016-05-11,17.2,0,1.7
722,2016-05-12,18.5,0,2.2
722,2016-05-13,17.7,0,2
