,Unnamed: 0,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
384493,384493,광주 동구,서석동,2017010114,54,38,광주 동구 서남로 1
384517,384517,광주 동구,서석동,2017010214,66,43,광주 동구 서남로 1
384541,384541,광주 동구,서석동,2017010314,74,54,광주 동구 서남로 1
384565,384565,광주 동구,서석동,2017010414,127,91,광주 동구 서남로 1
384589,384589,광주 동구,서석동,2017010514,104,84,광주 동구 서남로 1
384613,384613,광주 동구,서석동,2017010614,16,8,광주 동구 서남로 1
384637,384637,광주 동구,서석동,2017010714,51,32,광주 동구 서남로 1
384661,384661,광주 동구,서석동,2017010814,22,8,광주 동구 서남로 1
384685,384685,광주 동구,서석동,2017010914,33,16,광주 동구 서남로 1
384709,384709,광주 동구,서석동,2017011014,29,8,광주 동구 서남로 1
384733,384733,광주 동구,서석동,2017011114,18,7,광주 동구 서남로 1
384757,384757,광주 동구,서석동,2017011214,40,24,광주 동구 서남로 1
384781,384781,광주 동구,서석동,2017011314,47,26,광주 동구 서남로 1
384805,384805,광주 동구,서석동,2017011414,39,11,광주 동구 서남로 1
384829,384829,광주 동구,서석동,2017011514,20,6,광주 동구 서남로 1
384853,384853,광주 동구,서석동,2017011614,25,9,광주 동구 서남로 1
384877,384877,광주 동구,서석동,2017011714,,,광주 동구 서남로 1
384901,384901,광주 동구,서석동,2017011814,90,67,광주 동구 서남로 1
384925,384925,광주 동구,서석동,2017011914,100,82,광주 동구 서남로 1
384949,384949,광주 동구,서석동,2017012014,37,29,광주 동구 서남로 1
384973,384973,광주 동구,서석동,2017012114,38,26,광주 동구 서남로 1
384997,384997,광주 동구,서석동,2017012214,37,15,광주 동구 서남로 1
385021,385021,광주 동구,서석동,2017012314,36,28,광주 동구 서남로 1
385045,385045,광주 동구,서석동,2017012414,,,광주 동구 서남로 1
385069,385069,광주 동구,서석동,2017012514,35,21,광주 동구 서남로 1
385093,385093,광주 동구,서석동,2017012614,84,67,광주 동구 서남로 1
385117,385117,광주 동구,서석동,2017012714,80,5,광주 동구 서남로 1
385141,385141,광주 동구,서석동,2017012814,34,13,광주 동구 서남로 1
385165,385165,광주 동구,서석동,2017012914,29,21,광주 동구 서남로 1
385189,385189,광주 동구,서석동,2017013014,27,11,광주 동구 서남로 1
385213,385213,광주 동구,서석동,2017013114,28,15,광주 동구 서남로 1
385237,385237,광주 동구,서석동,2017020114,46,25,광주 동구 서남로 1
385261,385261,광주 동구,서석동,2017020214,8,3,광주 동구 서남로 1
385285,385285,광주 동구,서석동,2017020314,36,17,광주 동구 서남로 1
385309,385309,광주 동구,서석동,2017020414,90,51,광주 동구 서남로 1
385333,385333,광주 동구,서석동,2017020514,28,16,광주 동구 서남로 1
385357,385357,광주 동구,서석동,2017020614,30,1,광주 동구 서남로 1
385381,385381,광주 동구,서석동,2017020714,30,12,광주 동구 서남로 1
385405,385405,광주 동구,서석동,2017020814,23,5,광주 동구 서남로 1
385429,385429,광주 동구,서석동,2017020914,60,6,광주 동구 서남로 1
385453,385453,광주 동구,서석동,2017021014,27,10,광주 동구 서남로 1
385477,385477,광주 동구,서석동,2017021114,19,6,광주 동구 서남로 1
385501,385501,광주 동구,서석동,2017021214,19,5,광주 동구 서남로 1
385525,385525,광주 동구,서석동,2017021314,60,39,광주 동구 서남로 1
385549,385549,광주 동구,서석동,2017021414,52,28,광주 동구 서남로 1
385573,385573,광주 동구,서석동,2017021514,66,29,광주 동구 서남로 1
385597,385597,광주 동구,서석동,2017021614,20,6,광주 동구 서남로 1
385621,385621,광주 동구,서석동,2017021714,39,8,광주 동구 서남로 1
385645,385645,광주 동구,서석동,2017021814,15,1,광주 동구 서남로 1
385669,385669,광주 동구,서석동,2017021914,51,13,광주 동구 서남로 1
385693,385693,광주 동구,서석동,2017022014,50,10,광주 동구 서남로 1
385717,385717,광주 동구,서석동,2017022114,49,23,광주 동구 서남로 1
385741,385741,광주 동구,서석동,2017022214,12,7,광주 동구 서남로 1
385765,385765,광주 동구,서석동,2017022314,38,5,광주 동구 서남로 1
385789,385789,광주 동구,서석동,2017022414,12,2,광주 동구 서남로 1
385813,385813,광주 동구,서석동,2017022514,44,26,광주 동구 서남로 1
385837,385837,광주 동구,서석동,2017022614,39,23,광주 동구 서남로 1
385861,385861,광주 동구,서석동,2017022714,55,34,광주 동구 서남로 1
