,Unnamed: 0,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
13,395989,광주 동구,서석동,2017070114,20,12,광주 동구 서남로 1
37,396013,광주 동구,서석동,2017070214,3,1,광주 동구 서남로 1
61,396037,광주 동구,서석동,2017070314,13,5,광주 동구 서남로 1
85,396061,광주 동구,서석동,2017070414,3,3,광주 동구 서남로 1
109,396085,광주 동구,서석동,2017070514,27,24,광주 동구 서남로 1
133,396109,광주 동구,서석동,2017070614,12,9,광주 동구 서남로 1
157,396133,광주 동구,서석동,2017070714,4,1,광주 동구 서남로 1
181,396157,광주 동구,서석동,2017070814,1,1,광주 동구 서남로 1
205,396181,광주 동구,서석동,2017070914,6,5,광주 동구 서남로 1
229,396205,광주 동구,서석동,2017071014,17,11,광주 동구 서남로 1
253,396229,광주 동구,서석동,2017071114,31,25,광주 동구 서남로 1
277,396253,광주 동구,서석동,2017071214,36,27,광주 동구 서남로 1
301,396277,광주 동구,서석동,2017071314,22,12,광주 동구 서남로 1
325,396301,광주 동구,서석동,2017071414,11,9,광주 동구 서남로 1
349,396325,광주 동구,서석동,2017071514,3,1,광주 동구 서남로 1
373,396349,광주 동구,서석동,2017071614,2,1,광주 동구 서남로 1
397,396373,광주 동구,서석동,2017071714,10,4,광주 동구 서남로 1
421,396397,광주 동구,서석동,2017071814,6,1,광주 동구 서남로 1
445,396421,광주 동구,서석동,2017071914,31,20,광주 동구 서남로 1
469,396445,광주 동구,서석동,2017072014,43,34,광주 동구 서남로 1
493,396469,광주 동구,서석동,2017072114,26,17,광주 동구 서남로 1
517,396493,광주 동구,서석동,2017072214,14,7,광주 동구 서남로 1
541,396517,광주 동구,서석동,2017072314,24,16,광주 동구 서남로 1
565,396541,광주 동구,서석동,2017072414,40,33,광주 동구 서남로 1
589,396565,광주 동구,서석동,2017072514,20,13,광주 동구 서남로 1
613,396589,광주 동구,서석동,2017072614,2,1,광주 동구 서남로 1
637,396613,광주 동구,서석동,2017072714,14,3,광주 동구 서남로 1
661,396637,광주 동구,서석동,2017072814,30,15,광주 동구 서남로 1
685,396661,광주 동구,서석동,2017072914,20,11,광주 동구 서남로 1
709,396685,광주 동구,서석동,2017073014,30,10,광주 동구 서남로 1
733,396709,광주 동구,서석동,2017073114,40,25,광주 동구 서남로 1
757,396733,광주 동구,서석동,2017080114,12,11,광주 동구 서남로 1
781,396757,광주 동구,서석동,2017080214,48,27,광주 동구 서남로 1
805,396781,광주 동구,서석동,2017080314,18,6,광주 동구 서남로 1
829,396805,광주 동구,서석동,2017080414,17,6,광주 동구 서남로 1
853,396829,광주 동구,서석동,2017080514,6,2,광주 동구 서남로 1
877,396853,광주 동구,서석동,2017080614,4,1,광주 동구 서남로 1
901,396877,광주 동구,서석동,2017080714,19,6,광주 동구 서남로 1
925,396901,광주 동구,서석동,2017080814,,,광주 동구 서남로 1
949,396925,광주 동구,서석동,2017080914,11,9,광주 동구 서남로 1
973,396949,광주 동구,서석동,2017081014,41,29,광주 동구 서남로 1
997,396973,광주 동구,서석동,2017081114,33,26,광주 동구 서남로 1
1021,396997,광주 동구,서석동,2017081214,24,17,광주 동구 서남로 1
1045,397021,광주 동구,서석동,2017081314,21,12,광주 동구 서남로 1
1069,397045,광주 동구,서석동,2017081414,10,7,광주 동구 서남로 1
1093,397069,광주 동구,서석동,2017081514,19,14,광주 동구 서남로 1
1117,397093,광주 동구,서석동,2017081614,18,9,광주 동구 서남로 1
1141,397117,광주 동구,서석동,2017081714,12,12,광주 동구 서남로 1
1165,397141,광주 동구,서석동,2017081814,28,23,광주 동구 서남로 1
1189,397165,광주 동구,서석동,2017081914,36,30,광주 동구 서남로 1
1213,397189,광주 동구,서석동,2017082014,17,14,광주 동구 서남로 1
1237,397213,광주 동구,서석동,2017082114,17,15,광주 동구 서남로 1
1261,397237,광주 동구,서석동,2017082214,6,,광주 동구 서남로 1
1285,397261,광주 동구,서석동,2017082314,9,,광주 동구 서남로 1
1309,397285,광주 동구,서석동,2017082414,14,3,광주 동구 서남로 1
1333,397309,광주 동구,서석동,2017082514,12,11,광주 동구 서남로 1
1357,397333,광주 동구,서석동,2017082614,20,9,광주 동구 서남로 1
1381,397357,광주 동구,서석동,2017082714,25,15,광주 동구 서남로 1
1405,397381,광주 동구,서석동,2017082814,34,22,광주 동구 서남로 1
1429,397405,광주 동구,서석동,2017082914,27,13,광주 동구 서남로 1
1453,397429,광주 동구,서석동,2017083014,28,14,광주 동구 서남로 1
1477,397453,광주 동구,서석동,2017083114,34,24,광주 동구 서남로 1
1501,397477,광주 동구,서석동,2017090114,33,21,광주 동구 서남로 1
1525,397501,광주 동구,서석동,2017090214,22,16,광주 동구 서남로 1
1549,397525,광주 동구,서석동,2017090314,12,10,광주 동구 서남로 1
1573,397549,광주 동구,서석동,2017090414,15,10,광주 동구 서남로 1
1597,397573,광주 동구,서석동,2017090514,29,21,광주 동구 서남로 1
1621,397597,광주 동구,서석동,2017090614,13,9,광주 동구 서남로 1
1645,397621,광주 동구,서석동,2017090714,36,31,광주 동구 서남로 1
1669,397645,광주 동구,서석동,2017090814,40,32,광주 동구 서남로 1
1693,397669,광주 동구,서석동,2017090914,45,40,광주 동구 서남로 1
1717,397693,광주 동구,서석동,2017091014,38,36,광주 동구 서남로 1
1741,397717,광주 동구,서석동,2017091114,9,11,광주 동구 서남로 1
