,Unnamed: 0,Unnamed: 0.1,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
1,397441,397441,광주 동구,서석동,2017100102,34.0,22.0,광주 동구 서남로 1
3,397443,397443,광주 동구,서석동,2017100104,27.0,20.0,광주 동구 서남로 1
5,397445,397445,광주 동구,서석동,2017100106,27.0,19.0,광주 동구 서남로 1
7,397447,397447,광주 동구,서석동,2017100108,34.0,17.0,광주 동구 서남로 1
9,397449,397449,광주 동구,서석동,2017100110,39.0,20.0,광주 동구 서남로 1
11,397451,397451,광주 동구,서석동,2017100112,35.0,25.0,광주 동구 서남로 1
13,397453,397453,광주 동구,서석동,2017100114,28.0,18.0,광주 동구 서남로 1
15,397455,397455,광주 동구,서석동,2017100116,25.0,17.0,광주 동구 서남로 1
17,397457,397457,광주 동구,서석동,2017100118,20.0,14.0,광주 동구 서남로 1
19,397459,397459,광주 동구,서석동,2017100120,10.0,6.0,광주 동구 서남로 1
21,397461,397461,광주 동구,서석동,2017100122,14.0,13.0,광주 동구 서남로 1
23,397463,397463,광주 동구,서석동,2017100124,11.0,8.0,광주 동구 서남로 1
25,397465,397465,광주 동구,서석동,2017100202,9.0,6.0,광주 동구 서남로 1
27,397467,397467,광주 동구,서석동,2017100204,8.0,6.0,광주 동구 서남로 1
29,397469,397469,광주 동구,서석동,2017100206,8.0,5.0,광주 동구 서남로 1
31,397471,397471,광주 동구,서석동,2017100208,10.0,8.0,광주 동구 서남로 1
33,397473,397473,광주 동구,서석동,2017100210,18.0,11.0,광주 동구 서남로 1
35,397475,397475,광주 동구,서석동,2017100212,27.0,19.0,광주 동구 서남로 1
37,397477,397477,광주 동구,서석동,2017100214,17.0,14.0,광주 동구 서남로 1
39,397479,397479,광주 동구,서석동,2017100216,20.0,12.0,광주 동구 서남로 1
41,397481,397481,광주 동구,서석동,2017100218,19.0,15.0,광주 동구 서남로 1
43,397483,397483,광주 동구,서석동,2017100220,24.0,18.0,광주 동구 서남로 1
45,397485,397485,광주 동구,서석동,2017100222,22.0,17.0,광주 동구 서남로 1
47,397487,397487,광주 동구,서석동,2017100224,23.0,20.0,광주 동구 서남로 1
49,397489,397489,광주 동구,서석동,2017100302,24.0,20.0,광주 동구 서남로 1
51,397491,397491,광주 동구,서석동,2017100304,30.0,20.0,광주 동구 서남로 1
53,397493,397493,광주 동구,서석동,2017100306,38.0,26.0,광주 동구 서남로 1
55,397495,397495,광주 동구,서석동,2017100308,37.0,27.0,광주 동구 서남로 1
57,397497,397497,광주 동구,서석동,2017100310,52.0,23.0,광주 동구 서남로 1
59,397499,397499,광주 동구,서석동,2017100312,52.0,20.0,광주 동구 서남로 1
61,397501,397501,광주 동구,서석동,2017100314,41.0,17.0,광주 동구 서남로 1
63,397503,397503,광주 동구,서석동,2017100316,46.0,18.0,광주 동구 서남로 1
65,397505,397505,광주 동구,서석동,2017100318,39.0,14.0,광주 동구 서남로 1
67,397507,397507,광주 동구,서석동,2017100320,46.0,24.0,광주 동구 서남로 1
69,397509,397509,광주 동구,서석동,2017100322,49.0,23.0,광주 동구 서남로 1
71,397511,397511,광주 동구,서석동,2017100324,52.0,20.0,광주 동구 서남로 1
73,397513,397513,광주 동구,서석동,2017100402,52.0,25.0,광주 동구 서남로 1
75,397515,397515,광주 동구,서석동,2017100404,51.0,22.0,광주 동구 서남로 1
77,397517,397517,광주 동구,서석동,2017100406,56.0,19.0,광주 동구 서남로 1
79,397519,397519,광주 동구,서석동,2017100408,53.0,26.0,광주 동구 서남로 1
81,397521,397521,광주 동구,서석동,2017100410,52.0,24.0,광주 동구 서남로 1
83,397523,397523,광주 동구,서석동,2017100412,51.0,27.0,광주 동구 서남로 1
85,397525,397525,광주 동구,서석동,2017100414,47.0,29.0,광주 동구 서남로 1
87,397527,397527,광주 동구,서석동,2017100416,38.0,21.0,광주 동구 서남로 1
89,397529,397529,광주 동구,서석동,2017100418,39.0,20.0,광주 동구 서남로 1
