,일시,최저기온(°C),최고기온(°C)
0,2017-01-01,-1.8,5.1
1,2017-01-02,-1.2,7.6
2,2017-01-03,-3.5,5.8
3,2017-01-04,-0.8,4.1
4,2017-01-05,-0.6,4.6
5,2017-01-06,-0.7,8.2
6,2017-01-07,-0.5,4.6
7,2017-01-08,-0.2,9.0
8,2017-01-09,-6.2,0.1
9,2017-01-10,-8.1,-0.7
10,2017-01-11,-11.9,-3.3
11,2017-01-12,-7.2,-0.5
12,2017-01-13,-9.6,-3.4
13,2017-01-14,-13.8,-8.5
14,2017-01-15,-15.0,-4.3
15,2017-01-16,-9.5,-2.4
16,2017-01-17,-5.7,-0.4
17,2017-01-18,-5.9,0.1
18,2017-01-19,-6.4,2.6
19,2017-01-20,-9.9,-4.4
20,2017-01-21,-9.9,-5.6
21,2017-01-22,-11.4,-5.6
22,2017-01-23,-13.0,-8.8
23,2017-01-24,-11.2,-6.5
24,2017-01-25,-10.5,-3.1
25,2017-01-26,-6.2,3.1
26,2017-01-27,-7.0,0.7
27,2017-01-28,-3.7,5.0
28,2017-01-29,-0.6,7.2
29,2017-01-30,-11.8,-0.7
30,2017-01-31,-11.4,-0.1
31,2017-02-01,-9.5,-1.5
32,2017-02-02,-9.1,1.1
33,2017-02-03,-3.9,5.0
34,2017-02-04,0.5,5.9
35,2017-02-05,-4.5,4.5
36,2017-02-06,-8.7,-2.6
37,2017-02-07,-7.3,2.7
38,2017-02-08,-7.4,-0.7
39,2017-02-09,-11.0,-6.2
40,2017-02-10,-12.4,-9.3
41,2017-02-11,-12.0,-7.2
42,2017-02-12,-8.8,-3.3
43,2017-02-13,-7.8,0.8
44,2017-02-14,-7.1,2.0
45,2017-02-15,-1.5,8.2
46,2017-02-16,1.0,9.6
47,2017-02-17,-8.5,7.7
48,2017-02-18,-10.6,-1.2
49,2017-02-19,-7.0,5.9
50,2017-02-20,-10.8,6.7
51,2017-02-21,-10.9,4.7
52,2017-02-22,-2.7,7.7
53,2017-02-23,-9.5,-2.8
54,2017-02-24,-9.9,0.0
55,2017-02-25,-5.0,4.7
56,2017-02-26,-4.9,4.7
57,2017-02-27,-3.7,7.2
58,2017-02-28,-1.0,8.4
59,2017-03-01,0.2,7.8
60,2017-03-02,-8.4,0.6
61,2017-03-03,-7.9,7.1
62,2017-03-04,-1.0,9.5
63,2017-03-05,-1.3,10.5
64,2017-03-06,-8.2,0.5
65,2017-03-07,-9.5,-3.7
66,2017-03-08,-8.9,-1.0
67,2017-03-09,-6.1,5.4
68,2017-03-10,-4.1,8.7
69,2017-03-11,1.3,11.9
70,2017-03-12,2.5,13.0
71,2017-03-13,0.0,7.9
72,2017-03-14,-5.0,5.3
73,2017-03-15,-4.2,8.1
74,2017-03-16,-1.5,8.1
75,2017-03-17,-0.6,11.5
76,2017-03-18,2.9,11.7
77,2017-03-19,3.8,14.3
78,2017-03-20,0.4,6.3
79,2017-03-21,-2.7,4.2
80,2017-03-22,-3.0,8.1
81,2017-03-23,2.4,10.8
82,2017-03-24,1.2,7.8
83,2017-03-25,-0.2,2.1
84,2017-03-26,-2.0,5.0
85,2017-03-27,-2.1,3.9
86,2017-03-28,-1.2,8.9
87,2017-03-29,-1.3,6.4
88,2017-03-30,1.9,13.1
89,2017-03-31,1.5,6.7
90,2017-04-01,-0.8,8.5
91,2017-04-02,-0.5,10.0
92,2017-04-03,1.6,14.7
93,2017-04-04,6.4,17.8
94,2017-04-05,6.2,11.5
95,2017-04-06,7.8,11.5
96,2017-04-07,8.9,18.6
97,2017-04-08,10.1,20.5
98,2017-04-09,6.2,18.3
99,2017-04-10,5.1,16.0
100,2017-04-11,2.5,11.3
101,2017-04-12,1.9,12.5
102,2017-04-13,3.2,14.2
103,2017-04-14,6.3,14.6
104,2017-04-15,7.7,20.8
105,2017-04-16,12.8,23.9
106,2017-04-17,6.5,15.0
107,2017-04-18,3.1,16.6
108,2017-04-19,2.3,12.8
109,2017-04-20,4.5,12.5
110,2017-04-21,6.4,15.6
111,2017-04-22,7.6,16.2
112,2017-04-23,7.6,17.6
113,2017-04-24,7.1,16.8
114,2017-04-25,8.8,16.1
115,2017-04-26,4.4,16.1
116,2017-04-27,3.3,13.1
117,2017-04-28,3.8,18.6
118,2017-04-29,6.4,20.9
119,2017-04-30,11.8,21.2
120,2017-05-01,10.2,21.4
121,2017-05-02,10.1,19.3
122,2017-05-03,11.2,21.7
123,2017-05-04,11.6,21.9
124,2017-05-05,11.5,14.9
125,2017-05-06,6.4,17.5
126,2017-05-07,8.3,19.0
127,2017-05-08,9.7,18.7
128,2017-05-09,7.2,11.5
129,2017-05-10,8.8,12.6
130,2017-05-11,10.9,23.1
131,2017-05-12,11.5,18.3
132,2017-05-13,8.6,19.8
133,2017-05-14,6.2,16.7
134,2017-05-15,5.9,16.0
135,2017-05-16,7.4,18.8
136,2017-05-17,7.7,19.9
137,2017-05-18,12.1,22.1
138,2017-05-19,13.1,24.2
139,2017-05-20,14.5,22.7
140,2017-05-21,13.0,21.9
141,2017-05-22,12.8,23.3
142,2017-05-23,11.6,19.1
143,2017-05-24,13.0,21.6
144,2017-05-25,6.2,22.3
145,2017-05-26,5.1,15.5
146,2017-05-27,8.9,21.1
147,2017-05-28,12.7,23.4
148,2017-05-29,15.3,25.9
149,2017-05-30,17.4,25.4
150,2017-05-31,13.4,19.8
151,2017-06-01,11.8,22.8
152,2017-06-02,11.8,22.4
153,2017-06-03,9.9,19.6
154,2017-06-04,11.4,22.6
155,2017-06-05,12.8,23.8
156,2017-06-06,10.1,14.7
157,2017-06-07,9.9,15.9
158,2017-06-08,9.6,20.5
159,2017-06-09,12.6,22.6
160,2017-06-10,13.3,19.9
161,2017-06-11,12.6,22.3
162,2017-06-12,11.2,18.5
163,2017-06-13,10.8,19.8
164,2017-06-14,12.8,21.7
165,2017-06-15,13.6,23.6
166,2017-06-16,14.9,26.2
167,2017-06-17,13.7,26.3
168,2017-06-18,16.3,27.7
169,2017-06-19,17.0,27.2
170,2017-06-20,13.6,18.7
171,2017-06-21,15.3,23.3
172,2017-06-22,14.9,26.0
173,2017-06-23,16.1,24.7
174,2017-06-24,15.9,23.2
175,2017-06-25,16.8,22.6
176,2017-06-26,15.4,20.9
177,2017-06-27,14.5,22.3
178,2017-06-28,15.1,24.9
179,2017-06-29,16.2,21.0
180,2017-06-30,16.6,21.8
181,2017-07-01,18.8,21.6
182,2017-07-02,19.6,22.3
183,2017-07-03,19.8,21.6
184,2017-07-04,19.8,21.9
185,2017-07-05,20.2,26.2
186,2017-07-06,19.3,21.7
187,2017-07-07,20.1,22.9
188,2017-07-08,19.4,24.7
189,2017-07-09,20.1,25.9
190,2017-07-10,20.5,21.9
191,2017-07-11,19.4,23.9
192,2017-07-12,19.0,27.6
193,2017-07-13,20.7,27.6
194,2017-07-14,18.6,26.7
195,2017-07-15,18.1,21.9
196,2017-07-16,20.3,26.3
197,2017-07-17,19.2,23.0
198,2017-07-18,18.6,22.3
199,2017-07-19,20.1,26.9
200,2017-07-20,20.9,27.9
201,2017-07-21,21.8,29.0
202,2017-07-22,22.4,27.6
203,2017-07-23,21.0,25.5
204,2017-07-24,22.2,26.8
205,2017-07-25,21.7,27.8
206,2017-07-26,18.4,25.9
207,2017-07-27,18.5,27.2
208,2017-07-28,20.2,26.9
209,2017-07-29,21.1,25.3
210,2017-07-30,20.5,25.0
211,2017-07-31,19.5,23.4
212,2017-08-01,20.5,27.6
213,2017-08-02,20.9,25.5
214,2017-08-03,18.6,26.3
215,2017-08-04,20.4,27.5
216,2017-08-05,21.8,29.1
217,2017-08-06,19.5,29.4
218,2017-08-07,20.7,28.0
219,2017-08-08,19.7,26.3
220,2017-08-09,20.0,25.2
221,2017-08-10,18.7,26.8
222,2017-08-11,19.3,27.7
223,2017-08-12,18.8,24.9
224,2017-08-13,16.7,19.7
225,2017-08-14,17.7,21.0
226,2017-08-15,19.0,21.4
227,2017-08-16,18.2,23.8
228,2017-08-17,17.9,24.8
229,2017-08-18,18.2,23.8
230,2017-08-19,19.1,22.4
231,2017-08-20,19.2,22.0
232,2017-08-21,18.9,23.5
233,2017-08-22,19.9,25.1
234,2017-08-23,21.8,26.6
235,2017-08-24,22.0,24.8
236,2017-08-25,18.1,27.6
237,2017-08-26,17.2,22.8
238,2017-08-27,15.4,24.6
239,2017-08-28,16.8,21.7
240,2017-08-29,15.2,21.9
241,2017-08-30,14.6,20.5
242,2017-08-31,13.5,22.1
243,2017-09-01,14.5,23.0
244,2017-09-02,13.7,19.7
245,2017-09-03,13.4,21.3
246,2017-09-04,14.4,19.4
247,2017-09-05,15.6,18.1
248,2017-09-06,16.5,20.7
249,2017-09-07,13.1,20.5
250,2017-09-08,14.6,22.2
251,2017-09-09,15.8,23.2
252,2017-09-10,15.4,23.2
253,2017-09-11,14.6,20.3
254,2017-09-12,14.4,22.8
255,2017-09-13,14.2,21.4
256,2017-09-14,12.9,22.0
257,2017-09-15,12.4,17.6
258,2017-09-16,12.8,18.6
259,2017-09-17,14.2,22.2
260,2017-09-18,13.4,21.3
261,2017-09-19,15.2,21.6
