,일시,최저기온(°C),최고기온(°C),Unnamed: 0.1,Unnamed: 0.1.1,지역,측정소명,측정일시,미세먼지,초미세먼지,주소
0,2017-01-01,-1.8,5.1,384493,384493,광주 동구,서석동,2017010114,54.0,38.0,광주 동구 서남로 1
1,2017-01-02,-1.2,7.6,384517,384517,광주 동구,서석동,2017010214,66.0,43.0,광주 동구 서남로 1
2,2017-01-03,-3.5,5.8,384541,384541,광주 동구,서석동,2017010314,74.0,54.0,광주 동구 서남로 1
3,2017-01-04,-0.8,4.1,384565,384565,광주 동구,서석동,2017010414,127.0,91.0,광주 동구 서남로 1
4,2017-01-05,-0.6,4.6,384589,384589,광주 동구,서석동,2017010514,104.0,84.0,광주 동구 서남로 1
5,2017-01-06,-0.7,8.2,384613,384613,광주 동구,서석동,2017010614,16.0,8.0,광주 동구 서남로 1
6,2017-01-07,-0.5,4.6,384637,384637,광주 동구,서석동,2017010714,51.0,32.0,광주 동구 서남로 1
7,2017-01-08,-0.2,9.0,384661,384661,광주 동구,서석동,2017010814,22.0,8.0,광주 동구 서남로 1
8,2017-01-09,-6.2,0.1,384685,384685,광주 동구,서석동,2017010914,33.0,16.0,광주 동구 서남로 1
9,2017-01-10,-8.1,-0.7,384709,384709,광주 동구,서석동,2017011014,29.0,8.0,광주 동구 서남로 1
10,2017-01-11,-11.9,-3.3,384733,384733,광주 동구,서석동,2017011114,18.0,7.0,광주 동구 서남로 1
11,2017-01-12,-7.2,-0.5,384757,384757,광주 동구,서석동,2017011214,40.0,24.0,광주 동구 서남로 1
12,2017-01-13,-9.6,-3.4,384781,384781,광주 동구,서석동,2017011314,47.0,26.0,광주 동구 서남로 1
13,2017-01-14,-13.8,-8.5,384805,384805,광주 동구,서석동,2017011414,39.0,11.0,광주 동구 서남로 1
14,2017-01-15,-15.0,-4.3,384829,384829,광주 동구,서석동,2017011514,20.0,6.0,광주 동구 서남로 1
15,2017-01-16,-9.5,-2.4,384853,384853,광주 동구,서석동,2017011614,25.0,9.0,광주 동구 서남로 1
16,2017-01-17,-5.7,-0.4,384877,384877,광주 동구,서석동,2017011714,,,광주 동구 서남로 1
